OrderDetailID,OrderID,ProductName,ProductType,Quantity
176,119,Nồi cơm điện Kim Cương 0.3 lít nắp kính rời - BX0101,,1
177,120,Hoa Đu Đủ Đực Tươi Ngâm Mật Ong Hoa Cà Phê Vân Long Hũ 500ml - VL45,500ml,1
178,121,"Giá đỡ Điện thoại để bàn chân đứng dạng kẹp livestream, lướt web, xem video xoay 360 Độ",,2
179,122,"Điếu Ngải Cứu - Hương Ngải Cứu Gia Truyền ( gói 8, 10 cây )",Gói 10 cây,2
180,123,"Giá đỡ Điện thoại để bàn chân đứng dạng kẹp livestream, lướt web, xem video xoay 360 Độ",,1
181,124,Dầu TIEH TA YAO GIN ( Trạch Tả Dược Tinh ),,1
182,125,Bộ 2 Pin+Dock sạc ba Kingma cho Sony NP-BX1 Kèm hộp chống ẩm,Lẻ pin,1
183,126,(GIÁ BÁN TẠI  VƯỜN )1kg CÀ GAI LEO KHÔ HOÀ BÌNH🌱[FREESHIP] Mát gan -dltd,,3
184,127,(GIÁ BÁN TẠI  VƯỜN )1kg CÀ GAI LEO KHÔ HOÀ BÌNH🌱[FREESHIP] Mát gan -dltd,,3
185,128,[Hỏa tốc HCM] Hộp nhựa đựng thực phẩm White Pack nội địa Nhật Bản,Hộp 900ml-1302,2
186,129,✔️ Túi Đeo Hông Nhiều Ngăn Nhỏ Gọn Tiện Lợi,Đen,1
187,130,ULANZI PT-7 - HÀNG CHÍNH HÃNG - Giá đỡ / Thanh mở rộng đa năng,,1
188,131,"Tai Nghe Điện Thoại Nhét Tai QKZ AK6 Jack 3.5 Có Dây Bass Ấm (  Trong Suốt, Giá Rẻ, Gaming, Chơi Game Thủ, Nghe Nhạc )",QKZ AK6 / Trong Suốt,1
189,132,🔥 GIÁ SỈ 🔥 Dây Đeo Ngực Cho Điện Thoại Làm Camera Hành Trình Để Quay Phim,DÂY ĐEO CHO GO PRO,1
190,132,"Màng lọc gió filter cho micro, thu âm live livestream",MÀNG LỌC GIÓ,1
191,133,(GIÁ BÁN TẠI  VƯỜN )1kg CÀ GAI LEO KHÔ HOÀ BÌNH🌱[FREESHIP] Mát gan -dltd,,2
192,134,(GIÁ BÁN TẠI  VƯỜN )1kg CÀ GAI LEO KHÔ HOÀ BÌNH🌱[FREESHIP] Mát gan -dltd,,1
193,135,Cozy Đào Hòa Tan,,3
194,136,Thẻ Mobi 20k,,1
195,137,Thẻ Mobi 20k,,1
196,138,"Áo khoác dù unisex 2 mặt LADOS - 2015 chất liệu chống thấm cao cấp , Mặc được 2 mặt cực kỳ tiện lợi","Xanh mực - Đen,M(45-58kg)",1
197,139,[Mã COS0404 giảm 10% đơn 300K] Tăm Bông Ngoáy Tai Túi 100 Que Thân Gỗ [Thân Thiện Với Môi Trường],,7
198,140,"Mouse Pad, Miếng Lót Chuột Cỡ Lớn, Bàn Di Chuột Minimalism Desk Mat 900x400 800x300 độ dày 4 mm","DM04,80x30x0.4cm",1
199,141,CHUỘT LOGHITECH B100 (CÓ DÂY),,1
200,142,ổ cứng di động/ USB Sandisk 128GB (SDCZ73-G46) Ultra - Bảo hành 60 tháng,64GB,1
201,143,Skmei tiện lợi-Dụng cụ tỉa lông mũi cao cấp-kéo cắt lông mũi,,2
202,144,Hộp 20 cây Bút Bi Thiên Long TL-08,Màu sắc Xanh,1
203,145,"Thuốc diệt chuột storm gói 4 viên, gói 20 viên","1 gói,Gói 20v",2
